"Data Source","World Development Indicators",

"Last Updated Date","2015-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bahrain","BHR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0185400005429983","0.0161099992692471","0.0276500005275011","0.0204300004988909","0.0260300002992153","0.0189800001680851","0.0217099990695715","","","","","","",
"Belarus","BLR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998520016670227","0.730000019073486","0.705780029296875","0.845229983329773","0.722100019454956","0.708760023117065","0.620899975299835","0.611469984054565","0.627590000629425","0.678520023822784","0.660650014877319","0.962029993534088","0.741469979286194","0.642690002918243","0.693499982357025","0.700600028038025","","","","",
"Belize","BLZ","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0588500015437603","","","","","","","","","","0.205259993672371","0.209499999880791","0.222169995307922","0.22282999753952","0.261220008134842","","","","",
"Bolivia","BOL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325439989566803","0.315770000219345","0.294950008392334","0.298359990119934","0.287440001964569","0.293579995632172","0.276630014181137","","","","","","","0.157000005245209","","","","","","",
"Brazil","BRA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01824998855591","1.04289996623993","0.98471999168396","0.957920014858246","0.899519979953766","0.971319973468781","1.00801002979279","1.09513998031616","1.11431002616882","1.166139960289","1.16041994094849","1.20964002609253","","","","",
"Barbados","BRB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0159200001507998","0.0184199996292591","0.0370099991559982","","","","","","","","","","","",
"Bhutan","BTN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.532859981060028","","","","","","","","","","",
"Central African Republic","CAF","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65093004703522","1.65803003311157","1.75829994678497","1.79522001743317","1.90938997268677","2.08772993087769","2.04145002365112","2.03523993492126","2.06668996810913","2.03975009918213","2.00488996505737","1.96340000629425","1.91821002960205","1.97052001953125","1.8600800037384","1.78503000736237","1.72797000408173","","","",
"Central Europe and the Baltics","CEB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.755566076834252","0.774210641072429","0.75420067921739","0.759324475293164","0.762330549086244","0.763755689393368","0.75468395308592","0.746295104222339","0.750467838300741","0.752643534620714","0.770379503040105","0.778103958646584","0.805646433700122","0.856527798175517","0.900869040771954","0.990156264254511","1.09708128630588","","","",
"Switzerland","CHE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59029006958008","","","","2.46875","","","","2.8150999546051","","","","2.87046003341675","","","","","","","",
"Channel Islands","CHI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.310499995946884","0.374989986419678","0.409570008516312","0.417219996452332","","","","","",
"China","CHN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.568279981613159","0.644729971885681","0.652970016002655","0.757049977779388","0.902760028839111","0.950689971446991","1.07002997398376","1.13355994224548","1.22988998889923","1.32475996017456","1.3882999420166","1.39582002162933","1.46985995769501","1.70197999477386","1.75899004936218","1.83616995811462","1.98304998874664","","","",
"Cote d'Ivoire","CIV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.299230009317398","0.273660004138947","","","0.106030002236366","0.109449997544289","0.115970000624657","0.140430003404617","0.142010003328323","0.143350005149841","0.141660004854202","0.170530006289482","0.181779995560646","0.177790001034737","0.1805399954319","0.182970002293587","0.172670006752014","","","",
"Comoros","COM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0726400017738342","","","","",
"Costa Rica","CRI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.298000007867813","0.290749996900558","0.257400006055832","0.331719994544983","0.387279987335205","","","0.356819987297058","0.373180001974106","","0.430469989776611","0.364170014858246","0.398400008678436","0.541170001029968","0.482609987258911","0.476410001516342","","","","",
"Caribbean small states","CSS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.347359985113144","0.401719987392426","0.501230001449585","0.458310008049011","0.478650003671646","0.565280020236969","0.564450025558472","0.582430005073547","0.602310001850128","0.549199998378754","0.441390007734299","0.436150014400482","0.500609993934631","0.614870011806488","0.607659995555878","0.274940013885498","0.419340014457703","","","",
"Curacao","CUW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.218099996447563","0.234160006046295","0.243239998817444","0.254530012607574","0.302529990673065","0.347689986228943","0.367549985647202","0.404370009899139","0.425020009279251","0.441199988126755","0.424389988183975","0.489719986915588","0.493550002574921","0.497159987688065","0.467260003089905","","","",
"Czech Republic","CZE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923280000686646","1.03332996368408","1.10909998416901","1.10035002231598","1.16699004173279","1.15728998184204","1.15100002288818","1.19959998130798","1.19771003723145","1.22416996955872","1.2905900478363","1.36539995670319","1.29591000080109","1.35342001914978","1.39740002155304","1.64129996299744","1.8814799785614","","","",
"Germany","DEU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19565010070801","2.24086999893188","2.27837991714478","2.40930008888245","2.47222995758057","2.47405004501343","2.50275993347168","2.53962993621826","2.50339007377625","2.5058000087738","2.54026007652283","2.53168988227844","2.68945002555847","2.82262992858887","2.80351996421814","2.8928599357605","2.91910004615784","","","",
"Djibouti","DJI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83798003196716","1.92352998256683","2.04475998878479","2.17682003974915","","2.38718008995056","2.50819993019104","2.57548999786377","2.48486995697021","2.45644998550415","2.47751998901367","2.58008003234863","2.84990000724792","3.16038990020752","3.00137996673584","2.97599005699158","2.98415994644165","","","",
"Dominican Republic","DOM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230279996991158","0.366400003433228","0.196229994297028","0.163570001721382","0.066040001809597","","","","","","","","","","",
"East Asia & Pacific (developing only)","EAP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.465917592521122","0.570414172005196","0.635713480856947","0.70592691252842","0.739553197866437","0.810733547444461","0.924712648946731","1.02176966440851","1.1232719644993","1.19930127209626","1.27020874417233","1.27120590464411","1.43573068857665","1.47090638682113","1.73010701837973","1.80545980011388","1.98304998874664","","","",
"East Asia & Pacific (all income levels)","EAS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27357433621192","2.34770687606492","2.3156387814213","2.39662135479611","2.32379836785842","2.37824900079789","2.33707042961335","2.42983445152629","2.41094844096171","2.51222041132266","2.50131103625419","2.45423891520704","2.49501163517115","2.37271115561517","2.49629965946839","2.58549513736816","","","","",
"Europe & Central Asia (developing only)","ECA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.523598496410961","0.613840361090503","0.481153020002917","0.526123549441305","0.502446872381076","0.536369719224216","0.538034635955367","0.508469572035655","0.51762241633973","0.578692530226189","0.551775377903113","0.618977447228084","0.613226066056021","0.675380473479634","0.670880366568994","0.662025059503855","","","","",
"Europe & Central Asia (all income levels)","ECS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.72682470949308","1.70801944856154","1.67803537042726","1.77422469908244","1.75546863531845","1.80077614812043","1.77079882903388","1.79486769859746","1.77065951700468","1.72187830771284","1.72922880892524","1.72914266809997","1.81493591661494","1.91269634082031","1.87101028670001","1.87118920274618","1.95174624816056","","","",
"Ecuador","ECU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0772600024938583","0.0660799965262413","0.0695599988102913","","","0.0515000000596046","0.0553399994969368","0.0573499985039234","","","0.128629997372627","0.131940007209778","0.227789998054504","","","","","","","",
"Egypt, Arab Rep.","EGY","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.212599992752075","0.197559997439384","0.199100002646446","0.186509996652603","0.192469999194145","","","","0.269939988851547","0.241410002112389","0.259030014276505","0.255100011825562","0.270240008831024","0.239109992980957","0.397810012102127","0.428629994392395","","","","",
"Euro area","EMU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79009154808766","1.76512192553909","1.79764908495112","1.82410258766024","1.86752915209846","1.86012264190539","1.90186114235011","1.86668659003445","1.84356427697361","1.83863309291359","1.86196380389854","1.86974551545535","1.99043651625227","2.09407004132765","2.0996683860857","2.11067313902786","2.13725614770725","","","",
"Eritrea","ERI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.813520014286041","0.80171000957489","0.874239981174469","0.86176997423172","0.907909989356995","0.915220022201538","0.986419975757599","1.04881000518799","1.06333005428314","1.12139999866486","1.19885003566742","1.26689004898071","1.35149002075195","1.39285004138947","1.39520001411438","1.35563004016876","1.30141997337341","","","",
"Estonia","EST","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.572660028934479","0.683200001716614","0.60114997625351","0.700010001659393","0.71627002954483","0.766889989376068","0.853890001773834","0.93028998374939","1.12758004665375","1.08061003684998","1.2814199924469","1.41301000118256","1.61963999271393","2.37072992324829","2.18191003799438","","","",
"Ethiopia","ETH","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.182349994778633","","0.173930004239082","","","0.245660006999969","","","","","",
"European Union","EUU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75568838341373","1.77684443539017","1.75035587436884","1.83713082173523","1.805924491551","1.86721590235559","1.83641724964035","1.86270699303288","1.82459468545724","1.81745439908277","1.83973137003471","1.84173245844695","1.93786007440705","2.03759565654178","2.02735592048144","2.04294375627581","2.05978448867852","","","",
"Fragile and conflict affected situations","FCS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
