Dateadded,Malware,Host,IP address,Level,Status,Files Online,SBL,Country,AS number,Uptime
2014-04-16,Citadel,dau43vt5wtrd.tk,195.20.44.109,4,online,0,Not listed,-,AS31624,838:59:59
2014-04-16,Ice IX,barselkab.bps.go.id,203.123.60.144,2,online,0,SBL219723,-,AS4800,838:59:59
2014-04-14,Ice IX,codebacktowork2.tk,,4,offline,0,Not listed,-, ,838:59:59
2014-04-11,ZeuS,www.orquestanacaona.cult.cu,200.0.24.42,2,online,0,SBL219217,-,AS27725,838:59:59
2014-04-11,ZeuS,neorandom.dothome.co.kr,112.175.184.65,3,online,0,Not listed,-,AS4766,838:59:59
2014-04-11,ZeuS,blog.raw-recruits.com,,3,offline,0,Not listed,-, ,31:48:22
2014-04-10,ZeuS,www.nikey.cn,120.31.134.133,1,online,0,Not listed,-,AS58543,838:59:59
2014-04-02,ZeuS,ssl.sinergycosmetics.com,31.7.63.146,4,online,0,Not listed,-,AS51852,838:59:59
2014-04-02,ZeuS,circleread-view.com.mocha2003.mochahost.com,198.38.82.49,3,online,0,Not listed,-,AS23352,838:59:59
2014-03-27,Citadel,190.128.29.1,190.128.29.1,4,unknown,0,SBL217683,-,AS13489,-
2014-03-27,Citadel,198.245.202.92,198.245.202.92,4,unknown,0,SBL217672,-,AS22868,-
2014-03-27,Citadel,katagi-weblogs.lolipop.jp,,3,offline,0,Not listed,-, ,838:59:59
2014-03-20,ZeuS,reimbergit.com.br,FastFlux Botnet,5,online,0,Not listed,-, ,838:59:59
2014-03-20,Citadel,update.timstackleshop.es,,4,offline,0,Not listed,-, ,838:59:59
2014-03-16,ZeuS,186.64.120.104,186.64.120.104,4,unknown,0,SBL216297,-,AS52368,-
2014-03-14,ZeuS,ryuitaqw.pw,,4,offline,0,Not listed,-, ,31:15:31
2014-03-13,Citadel,man-street.tk,,4,offline,0,Not listed,-, ,838:59:59
2014-03-13,Citadel,cicero-dropbox.tk,,4,offline,0,Not listed,-, ,838:59:59
2014-03-12,ZeuS,109.229.210.250,109.229.210.250,4,unknown,0,SBL215826,-,AS43075,-
2014-03-08,Citadel,update.rifugiopontese.it,37.143.11.189,4,online,0,Not listed,-,AS48172,838:59:59
2014-03-06,Citadel,jayboyd.t15.org,,3,offline,0,Not listed,-, ,838:59:59
2014-03-01,Citadel,littwronthath.net,,4,offline,0,Not listed,-, ,838:59:59
2014-02-22,Ice IX,193.107.19.24,193.107.19.24,4,unknown,0,SBL180482,-,AS58001,-
2014-02-16,ZeuS,blogerjijer.pw,,4,offline,0,Not listed,-, ,00:00:00
2014-02-15,Citadel,burrinsurance.com,199.246.2.105,2,online,0,SBL217944,-,AS13468,838:59:59
2014-02-13,Citadel,serverjainpangwang.pw,,4,offline,0,Not listed,-, ,50:15:41
2014-02-12,ZeuS,indongsang.com,112.78.2.141,2,online,0,SBL219599,-,AS45538,838:59:59
2014-02-12,Citadel,debservers.pw,,4,offline,0,Not listed,-, ,01:47:27
